维修ID,故障ID,维修项目,更换配件,维修费用(元),维修时间
M039,F039,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-12-01 13:56
M040,F040,更换进气温度传感器,进气温度传感器,380,2025-12-25 16:54
M041,F041,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-06-07 13:39
M042,F042,更换轮速传感器,右前轮速传感器,260,2025-08-31 10:08
M043,F043,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-06-15 09:55
M044,F044,维修空调压缩机,压缩机电磁阀,580,2025-04-27 10:38
M045,F045,更换催化转化器,原厂催化转化器,2800,2025-05-24 09:21
M046,F046,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-10-22 10:55
M047,F047,更换刹车压力传感器,刹车压力传感器,480,2024-03-01 09:54
M048,F048,更换安全带传感器,主驾驶安全带传感器,320,2025-03-24 18:39
M049,F049,更换机油压力传感器,机油压力传感器,450,2025-05-29 18:05
M050,F050,维修ABS控制模块,ABS控制模块维修包,1200,2024-11-14 15:30
M051,F051,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-11-26 10:11
M052,F052,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-10-24 14:23
M053,F053,更换节气门位置传感器,节气门位置传感器,480,2025-01-02 12:12
M054,F054,更换左前轮速传感器,左前轮速传感器,280,2024-07-27 14:01
M055,F055,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-05-05 13:52
M056,F056,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-07-05 13:00
M057,F057,升级ECM控制模块程序,ECM程序升级包,980,2024-04-11 11:58
M058,F058,更换右后轮速传感器,右后轮速传感器,270,2024-08-01 17:16
M059,F059,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-11-27 18:05
M060,F060,更换进气温度传感器,进气温度传感器,380,2024-12-27 17:49
M061,F061,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-09-21 09:32
M062,F062,更换轮速传感器,右前轮速传感器,260,2025-04-25 18:20
M063,F063,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-09-30 11:09
M064,F064,维修空调压缩机,压缩机电磁阀,580,2024-05-30 11:47
M065,F065,更换催化转化器,原厂催化转化器,2800,2025-01-23 17:34
M066,F066,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-08-07 14:57
M067,F067,更换刹车压力传感器,刹车压力传感器,480,2025-06-12 17:48
M068,F068,更换安全带传感器,主驾驶安全带传感器,320,2024-02-26 17:35
M069,F069,更换机油压力传感器,机油压力传感器,450,2024-06-27 19:43
M070,F070,维修ABS控制模块,ABS控制模块维修包,1200,2024-03-19 13:59
M071,F071,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-01-11 19:30
M072,F072,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-04-05 09:37
M073,F073,更换节气门位置传感器,节气门位置传感器,480,2025-03-03 10:36
M074,F074,更换左前轮速传感器,左前轮速传感器,280,2024-05-28 12:06
M075,F075,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-05-04 11:05
M076,F076,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-10-29 11:56
M077,F077,升级ECM控制模块程序,ECM程序升级包,980,2025-06-02 12:48
M078,F078,更换右后轮速传感器,右后轮速传感器,270,2025-07-22 10:53
M079,F079,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-06-01 15:43
M080,F080,更换进气温度传感器,进气温度传感器,380,2024-08-13 15:19
M081,F081,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-05-09 10:49
M082,F082,更换轮速传感器,右前轮速传感器,260,2024-10-07 15:03
M083,F083,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-02-28 10:06
M084,F084,维修空调压缩机,压缩机电磁阀,580,2024-06-21 10:27
M085,F085,更换催化转化器,原厂催化转化器,2800,2025-07-27 09:25
M086,F086,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-02-03 12:48
M087,F087,更换刹车压力传感器,刹车压力传感器,480,2025-05-09 15:10
M088,F088,更换安全带传感器,主驾驶安全带传感器,320,2024-08-10 13:55
M089,F089,更换机油压力传感器,机油压力传感器,450,2025-08-24 15:15
M090,F090,维修ABS控制模块,ABS控制模块维修包,1200,2025-12-03 15:52
M091,F091,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-05-15 11:15
M092,F092,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-02-06 13:47
M093,F093,更换节气门位置传感器,节气门位置传感器,480,2024-07-24 14:48
M094,F094,更换左前轮速传感器,左前轮速传感器,280,2025-11-20 18:02
M095,F095,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-09-05 13:51
M096,F096,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-11-23 12:57
M097,F097,升级ECM控制模块程序,ECM程序升级包,980,2025-04-09 12:25
M098,F098,更换右后轮速传感器,右后轮速传感器,270,2025-10-04 15:53
M099,F099,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-10-25 16:05
M100,F100,更换进气温度传感器,进气温度传感器,380,2024-12-12 12:56
M101,F101,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-07-04 12:51
M102,F102,更换轮速传感器,右前轮速传感器,260,2025-10-06 11:21
M103,F103,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-07-30 12:17
M104,F104,维修空调压缩机,压缩机电磁阀,580,2025-04-18 12:05
M105,F105,更换催化转化器,原厂催化转化器,2800,2024-03-27 19:24
M106,F106,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-11-15 18:39
M107,F107,更换刹车压力传感器,刹车压力传感器,480,2024-07-02 10:33
M108,F108,更换安全带传感器,主驾驶安全带传感器,320,2024-03-14 11:06
M109,F109,更换机油压力传感器,机油压力传感器,450,2025-07-26 15:29
M110,F110,维修ABS控制模块,ABS控制模块维修包,1200,2024-05-25 09:17
M111,F111,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-09-29 13:28
M112,F112,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-05-19 19:32
M113,F113,更换节气门位置传感器,节气门位置传感器,480,2024-08-04 17:49
M114,F114,更换左前轮速传感器,左前轮速传感器,280,2024-07-25 18:14
M115,F115,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-09-04 12:17
M116,F116,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-01-04 13:59
M117,F117,升级ECM控制模块程序,ECM程序升级包,980,2025-03-16 19:00
M118,F118,更换右后轮速传感器,右后轮速传感器,270,2024-03-29 17:52
M119,F119,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-04-19 15:10
M120,F120,更换进气温度传感器,进气温度传感器,380,2024-04-20 19:54
M121,F121,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-08-01 12:37
M122,F122,更换轮速传感器,右前轮速传感器,260,2025-02-04 15:58
M123,F123,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-09-26 18:38
M124,F124,维修空调压缩机,压缩机电磁阀,580,2024-10-06 18:51
M125,F125,更换催化转化器,原厂催化转化器,2800,2024-07-31 16:09
M126,F126,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-01-07 11:46
M127,F127,更换刹车压力传感器,刹车压力传感器,480,2024-07-18 16:45
M128,F128,更换安全带传感器,主驾驶安全带传感器,320,2024-08-21 15:18
M129,F129,更换机油压力传感器,机油压力传感器,450,2025-05-31 12:52
M130,F130,维修ABS控制模块,ABS控制模块维修包,1200,2024-06-19 15:42
M131,F131,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-06-12 09:11
M132,F132,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-01-24 17:21
M133,F133,更换节气门位置传感器,节气门位置传感器,480,2025-07-23 15:07
M134,F134,更换左前轮速传感器,左前轮速传感器,280,2024-11-30 19:29
M135,F135,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-10-06 10:46
M136,F136,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-01-09 12:06
M137,F137,升级ECM控制模块程序,ECM程序升级包,980,2024-03-11 16:50
M138,F138,更换右后轮速传感器,右后轮速传感器,270,2025-06-01 12:42
M139,F139,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-07-30 12:11
M140,F140,更换进气温度传感器,进气温度传感器,380,2025-12-22 17:30
M141,F141,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-01-11 10:46
M142,F142,更换轮速传感器,右前轮速传感器,260,2024-02-17 18:11
M143,F143,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-11-24 14:32
M144,F144,维修空调压缩机,压缩机电磁阀,580,2024-07-09 17:32
M145,F145,更换催化转化器,原厂催化转化器,2800,2024-10-17 11:41
M146,F146,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-10-27 15:39
M147,F147,更换刹车压力传感器,刹车压力传感器,480,2024-07-08 18:55
M148,F148,更换安全带传感器,主驾驶安全带传感器,320,2024-07-20 12:17
M149,F149,更换机油压力传感器,机油压力传感器,450,2025-05-21 14:59
M150,F150,维修ABS控制模块,ABS控制模块维修包,1200,2024-12-13 18:42
M151,F151,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-05-09 19:01
M152,F152,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-10-22 14:00
M153,F153,更换节气门位置传感器,节气门位置传感器,480,2024-10-29 12:21
M154,F154,更换左前轮速传感器,左前轮速传感器,280,2024-06-12 13:13
M155,F155,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-06-07 19:47
M156,F156,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-02-21 15:36
M157,F157,升级ECM控制模块程序,ECM程序升级包,980,2025-08-18 18:28
M158,F158,更换右后轮速传感器,右后轮速传感器,270,2024-04-14 18:38
M159,F159,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-01-27 10:30
M160,F160,更换进气温度传感器,进气温度传感器,380,2024-06-19 18:08
M161,F161,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-10-20 17:38
M162,F162,更换轮速传感器,右前轮速传感器,260,2025-09-12 17:18
M163,F163,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-11-06 18:22
M164,F164,维修空调压缩机,压缩机电磁阀,580,2025-06-08 10:33
M165,F165,更换催化转化器,原厂催化转化器,2800,2024-09-14 16:04
M166,F166,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-11-11 16:07
M167,F167,更换刹车压力传感器,刹车压力传感器,480,2024-12-18 12:19
M168,F168,更换安全带传感器,主驾驶安全带传感器,320,2024-08-18 16:19
M169,F169,更换机油压力传感器,机油压力传感器,450,2025-06-11 18:01
M170,F170,维修ABS控制模块,ABS控制模块维修包,1200,2024-06-24 16:57
M171,F171,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-12-21 15:58
M172,F172,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-05-19 12:41
M173,F173,更换节气门位置传感器,节气门位置传感器,480,2025-03-19 09:45
M174,F174,更换左前轮速传感器,左前轮速传感器,280,2024-09-28 17:47
M175,F175,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-03-02 13:00
M176,F176,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-05-02 13:54
M177,F177,升级ECM控制模块程序,ECM程序升级包,980,2024-05-03 11:56
M178,F178,更换右后轮速传感器,右后轮速传感器,270,2024-09-13 18:27
M179,F179,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-10-12 13:14
M180,F180,更换进气温度传感器,进气温度传感器,380,2024-10-24 15:16
M181,F181,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-02-16 18:22
M182,F182,更换轮速传感器,右前轮速传感器,260,2025-09-09 16:59
M183,F183,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-08-03 09:38
M184,F184,维修空调压缩机,压缩机电磁阀,580,2025-11-30 10:02
M185,F185,更换催化转化器,原厂催化转化器,2800,2024-03-20 19:19
M186,F186,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-02-13 10:29
M187,F187,更换刹车压力传感器,刹车压力传感器,480,2025-05-31 12:29
M188,F188,更换安全带传感器,主驾驶安全带传感器,320,2024-03-27 17:04
M189,F189,更换机油压力传感器,机油压力传感器,450,2024-04-12 15:22
M190,F190,维修ABS控制模块,ABS控制模块维修包,1200,2024-08-25 17:24
M191,F191,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-10-24 15:24
M192,F192,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-07-29 14:58
M193,F193,更换节气门位置传感器,节气门位置传感器,480,2025-09-14 10:52
M194,F194,更换左前轮速传感器,左前轮速传感器,280,2025-02-13 11:54
M195,F195,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-06-02 12:43
M196,F196,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-09-16 16:48
M197,F197,升级ECM控制模块程序,ECM程序升级包,980,2024-07-25 11:28
M198,F198,更换右后轮速传感器,右后轮速传感器,270,2024-12-25 15:08
M199,F199,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-02-19 12:31
M200,F200,更换进气温度传感器,进气温度传感器,380,2024-10-21 18:40
M201,F201,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-08-30 12:35
M202,F202,更换轮速传感器,右前轮速传感器,260,2025-09-10 18:43
M203,F203,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-03-22 16:37
M204,F204,维修空调压缩机,压缩机电磁阀,580,2025-05-12 09:47
M205,F205,更换催化转化器,原厂催化转化器,2800,2024-08-16 16:13
M206,F206,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-08-15 19:05
M207,F207,更换刹车压力传感器,刹车压力传感器,480,2025-10-27 13:11
M208,F208,更换安全带传感器,主驾驶安全带传感器,320,2025-10-28 13:42
M209,F209,更换机油压力传感器,机油压力传感器,450,2025-11-06 17:42
M210,F210,维修ABS控制模块,ABS控制模块维修包,1200,2025-10-13 18:36
M211,F211,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-10-15 12:45
M212,F212,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-08-18 15:54
M213,F213,更换节气门位置传感器,节气门位置传感器,480,2024-07-26 15:34
M214,F214,更换左前轮速传感器,左前轮速传感器,280,2024-06-18 17:19
M215,F215,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-11-17 11:32
M216,F216,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-12-08 17:16
M217,F217,升级ECM控制模块程序,ECM程序升级包,980,2024-04-24 09:39
M218,F218,更换右后轮速传感器,右后轮速传感器,270,2024-05-21 16:33
M219,F219,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-05-09 15:46
M220,F220,更换进气温度传感器,进气温度传感器,380,2025-10-13 17:08
M221,F221,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-03-01 10:58
M222,F222,更换轮速传感器,右前轮速传感器,260,2024-05-09 09:59
M223,F223,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-05-22 17:50
M224,F224,维修空调压缩机,压缩机电磁阀,580,2025-02-03 11:05
M225,F225,更换催化转化器,原厂催化转化器,2800,2025-09-06 14:14
M226,F226,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-01-21 18:52
M227,F227,更换刹车压力传感器,刹车压力传感器,480,2024-08-24 14:43
M228,F228,更换安全带传感器,主驾驶安全带传感器,320,2024-09-23 16:31
M229,F229,更换机油压力传感器,机油压力传感器,450,2025-10-15 19:26
M230,F230,维修ABS控制模块,ABS控制模块维修包,1200,2024-04-10 09:10
M231,F231,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-11-26 09:52
M232,F232,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-02-11 09:39
M233,F233,更换节气门位置传感器,节气门位置传感器,480,2025-08-29 16:28
M234,F234,更换左前轮速传感器,左前轮速传感器,280,2025-04-21 09:29
M235,F235,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-11-17 14:46
M236,F236,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-05-30 12:48
M237,F237,升级ECM控制模块程序,ECM程序升级包,980,2025-01-10 13:20
M238,F238,更换右后轮速传感器,右后轮速传感器,270,2024-04-09 13:47
M239,F239,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-07-19 16:56
M240,F240,更换进气温度传感器,进气温度传感器,380,2024-11-03 15:36
M241,F241,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-02-14 12:06
M242,F242,更换轮速传感器,右前轮速传感器,260,2024-02-09 14:37
M243,F243,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-11-16 17:24
M244,F244,维修空调压缩机,压缩机电磁阀,580,2024-03-24 10:00
M245,F245,更换催化转化器,原厂催化转化器,2800,2025-12-30 14:41
M246,F246,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-12-05 10:37
M247,F247,更换刹车压力传感器,刹车压力传感器,480,2025-04-02 10:26
M248,F248,更换安全带传感器,主驾驶安全带传感器,320,2025-02-13 16:21
M249,F249,更换机油压力传感器,机油压力传感器,450,2024-08-26 11:27
M250,F250,维修ABS控制模块,ABS控制模块维修包,1200,2024-01-15 17:45
M251,F251,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-10-26 10:03
M252,F252,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-06-08 11:40
M253,F253,更换节气门位置传感器,节气门位置传感器,480,2025-02-04 11:24
M254,F254,更换左前轮速传感器,左前轮速传感器,280,2025-10-17 12:56
M255,F255,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-05-10 18:42
M256,F256,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-12-11 11:24
M257,F257,升级ECM控制模块程序,ECM程序升级包,980,2025-11-29 18:05
M258,F258,更换右后轮速传感器,右后轮速传感器,270,2024-02-28 11:49
M259,F259,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-05-30 14:35
M260,F260,更换进气温度传感器,进气温度传感器,380,2024-07-30 09:07
M261,F261,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-06-20 19:24
M262,F262,更换轮速传感器,右前轮速传感器,260,2025-04-15 15:35
M263,F263,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-03-30 17:49
M264,F264,维修空调压缩机,压缩机电磁阀,580,2025-01-29 11:56
M265,F265,更换催化转化器,原厂催化转化器,2800,2025-12-11 18:04
M266,F266,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-03-02 18:36
M267,F267,更换刹车压力传感器,刹车压力传感器,480,2024-02-01 12:23
M268,F268,更换安全带传感器,主驾驶安全带传感器,320,2024-05-10 14:33
M269,F269,更换机油压力传感器,机油压力传感器,450,2025-08-23 14:32
M270,F270,维修ABS控制模块,ABS控制模块维修包,1200,2025-04-28 13:46
M271,F271,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-09-04 10:50
M272,F272,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-06-08 10:04
M273,F273,更换节气门位置传感器,节气门位置传感器,480,2024-11-08 15:00
M274,F274,更换左前轮速传感器,左前轮速传感器,280,2025-02-27 13:53
M275,F275,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-03-31 17:30
M276,F276,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-06-06 15:13
M277,F277,升级ECM控制模块程序,ECM程序升级包,980,2024-04-03 13:32
M278,F278,更换右后轮速传感器,右后轮速传感器,270,2025-07-25 18:48
M279,F279,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-11-08 11:26
M280,F280,更换进气温度传感器,进气温度传感器,380,2024-12-20 16:33
M281,F281,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-06-04 14:01
M282,F282,更换轮速传感器,右前轮速传感器,260,2025-02-05 11:58
M283,F283,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-03-13 18:33
M284,F284,维修空调压缩机,压缩机电磁阀,580,2025-11-24 13:47
M285,F285,更换催化转化器,原厂催化转化器,2800,2025-12-04 13:35
M286,F286,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-10-25 12:41
M287,F287,更换刹车压力传感器,刹车压力传感器,480,2025-11-04 14:25
M288,F288,更换安全带传感器,主驾驶安全带传感器,320,2025-03-13 16:52
M289,F289,更换机油压力传感器,机油压力传感器,450,2025-03-24 10:57
M290,F290,维修ABS控制模块,ABS控制模块维修包,1200,2025-08-13 17:27
M291,F291,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-09-11 18:00
M292,F292,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-01-19 19:56
M293,F293,更换节气门位置传感器,节气门位置传感器,480,2024-03-18 11:08
M294,F294,更换左前轮速传感器,左前轮速传感器,280,2024-03-25 14:40
M295,F295,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-03-11 14:22
M296,F296,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-03-23 16:35
M297,F297,升级ECM控制模块程序,ECM程序升级包,980,2024-03-14 13:29
M298,F298,更换右后轮速传感器,右后轮速传感器,270,2025-04-24 17:10
M299,F299,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-12-29 17:10
M300,F300,更换进气温度传感器,进气温度传感器,380,2024-06-12 18:02
M301,F301,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-05-11 13:27
M302,F302,更换轮速传感器,右前轮速传感器,260,2025-04-29 14:22
M303,F303,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-12-23 18:03
M304,F304,维修空调压缩机,压缩机电磁阀,580,2024-02-29 17:02
M305,F305,更换催化转化器,原厂催化转化器,2800,2025-09-21 12:14
M306,F306,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-10-06 18:44
M307,F307,更换刹车压力传感器,刹车压力传感器,480,2025-04-30 18:44
M308,F308,更换安全带传感器,主驾驶安全带传感器,320,2025-07-28 14:05
M309,F309,更换机油压力传感器,机油压力传感器,450,2024-12-04 15:53
M310,F310,维修ABS控制模块,ABS控制模块维修包,1200,2025-12-07 12:06
M311,F311,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-04-16 15:58
M312,F312,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-08-25 15:33
M313,F313,更换节气门位置传感器,节气门位置传感器,480,2024-03-21 10:33
M314,F314,更换左前轮速传感器,左前轮速传感器,280,2025-04-27 14:31
M315,F315,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-09-16 14:59
M316,F316,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-06-28 19:46
M317,F317,升级ECM控制模块程序,ECM程序升级包,980,2025-01-05 18:51
M318,F318,更换右后轮速传感器,右后轮速传感器,270,2024-05-16 18:17
M319,F319,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-12-05 18:27
M320,F320,更换进气温度传感器,进气温度传感器,380,2024-01-31 13:56
M321,F321,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-12-09 10:00
M322,F322,更换轮速传感器,右前轮速传感器,260,2025-01-26 12:55
M323,F323,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-05-09 16:06
M324,F324,维修空调压缩机,压缩机电磁阀,580,2024-03-09 17:45
M325,F325,更换催化转化器,原厂催化转化器,2800,2024-10-17 14:18
M326,F326,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-02-05 14:38
M327,F327,更换刹车压力传感器,刹车压力传感器,480,2024-10-25 11:39
M328,F328,更换安全带传感器,主驾驶安全带传感器,320,2025-03-26 10:55
M329,F329,更换机油压力传感器,机油压力传感器,450,2025-07-09 15:26
M330,F330,维修ABS控制模块,ABS控制模块维修包,1200,2025-10-21 19:18
M331,F331,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-02-06 12:13
M332,F332,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-01-09 13:31
M333,F333,更换节气门位置传感器,节气门位置传感器,480,2024-01-01 09:17
M334,F334,更换左前轮速传感器,左前轮速传感器,280,2025-03-11 18:27
M335,F335,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-08-01 17:59
M336,F336,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-04-22 11:44
M337,F337,升级ECM控制模块程序,ECM程序升级包,980,2025-08-07 18:59
M338,F338,更换右后轮速传感器,右后轮速传感器,270,2024-01-04 09:16
