保养ID,车型,行驶里程(km),保养项目,保养时间,上次保养里程(km)
S155,宝马5系,133021,大保养(机油+三滤+正时皮带),2024-09-18 08:36,123021
S156,奥迪Q5L,96572,机油+机滤+火花塞更换,2025-01-29 17:23,91572
S157,福特锐界,117999,刹车油+刹车片+轮胎更换,2024-04-19 14:02,107999
S158,吉利博越,69639,机油+机滤+燃油滤芯更换,2024-09-03 10:45,64639
S159,长城魏派VV7,125306,变速箱油+空调滤芯更换,2025-12-13 13:58,115306
S160,奔驰E级,91391,大保养(机油+三滤+刹车油),2025-10-13 10:12,81391
S161,丰田卡罗拉,45871,机油+机滤更换,2025-01-16 09:47,40871
S162,大众朗逸,103148,空调滤芯+空气滤芯更换,2024-06-24 14:56,93148
S163,本田思域,52878,变速箱油更换,2024-11-18 15:24,42878
S164,比亚迪汉,103583,全车检查+轮胎换位,2025-12-11 14:19,93583
S165,宝马3系,114259,大保养(机油+三滤+刹车油),2024-05-14 15:40,104259
S166,福特蒙迪欧,78925,刹车油+刹车片更换,2025-04-25 14:31,68925
S167,吉利星越L,122049,机油+机滤+空调滤芯更换,2024-05-17 12:29,117049
S168,奥迪A4L,20856,变速箱油+火花塞更换,2025-07-11 11:56,10856
S169,长城哈弗H6,146893,空气滤芯+燃油滤芯更换,2024-08-07 14:04,141893
S170,奔驰C级,94877,大保养(机油+三滤+变速箱油),2024-08-01 08:13,84877
S171,丰田凯美瑞,64917,刹车油+冷却液更换,2024-04-15 17:02,54917
S172,大众帕萨特,75442,机油+机滤+空气滤芯更换,2024-09-12 12:36,70442
S173,本田CR-V,30634,变速箱油+刹车油更换,2025-07-22 12:14,20634
S174,比亚迪宋PLUS,76455,全车检查+空调滤芯更换,2025-05-16 16:59,71455
S175,宝马5系,138467,大保养(机油+三滤+正时皮带),2024-10-27 11:26,128467
S176,奥迪Q5L,58745,机油+机滤+火花塞更换,2024-04-25 15:30,53745
S177,福特锐界,90394,刹车油+刹车片+轮胎更换,2024-03-17 09:07,80394
S178,吉利博越,80670,机油+机滤+燃油滤芯更换,2025-09-18 14:20,75670
S179,长城魏派VV7,147639,变速箱油+空调滤芯更换,2024-10-30 09:05,137639
S180,奔驰E级,111628,大保养(机油+三滤+刹车油),2025-10-28 17:40,101628
S181,丰田卡罗拉,68938,机油+机滤更换,2025-07-26 09:14,63938
S182,大众朗逸,62873,空调滤芯+空气滤芯更换,2024-08-04 17:11,52873
S183,本田思域,51270,变速箱油更换,2025-09-27 16:03,41270
S184,比亚迪汉,126615,全车检查+轮胎换位,2025-05-11 08:45,116615
S185,宝马3系,45447,大保养(机油+三滤+刹车油),2025-01-24 17:05,35447
S186,福特蒙迪欧,30652,刹车油+刹车片更换,2025-03-29 16:33,20652
S187,吉利星越L,20778,机油+机滤+空调滤芯更换,2025-03-22 08:41,15778
S188,奥迪A4L,118421,变速箱油+火花塞更换,2025-02-19 11:58,108421
S189,长城哈弗H6,138995,空气滤芯+燃油滤芯更换,2025-12-20 13:06,133995
S190,奔驰C级,44137,大保养(机油+三滤+变速箱油),2024-09-25 10:31,34137
S191,丰田凯美瑞,122158,刹车油+冷却液更换,2025-04-03 10:45,112158
S192,大众帕萨特,105001,机油+机滤+空气滤芯更换,2024-08-12 09:44,100001
S193,本田CR-V,142109,变速箱油+刹车油更换,2024-05-21 10:42,132109
S194,比亚迪宋PLUS,80457,全车检查+空调滤芯更换,2024-12-16 14:04,75457
S195,宝马5系,68282,大保养(机油+三滤+正时皮带),2025-08-18 12:26,58282
S196,奥迪Q5L,59707,机油+机滤+火花塞更换,2024-01-31 15:26,54707
S197,福特锐界,37582,刹车油+刹车片+轮胎更换,2024-08-12 09:40,27582
S198,吉利博越,124673,机油+机滤+燃油滤芯更换,2025-06-19 10:20,119673
S199,长城魏派VV7,24767,变速箱油+空调滤芯更换,2024-06-12 13:13,14767
S200,奔驰E级,98969,大保养(机油+三滤+刹车油),2024-01-13 09:57,88969
S201,丰田卡罗拉,114274,机油+机滤更换,2024-02-15 17:26,109274
S202,大众朗逸,36752,空调滤芯+空气滤芯更换,2024-09-27 17:21,26752
S203,本田思域,26878,变速箱油更换,2024-05-14 15:13,16878
S204,比亚迪汉,135483,全车检查+轮胎换位,2025-09-15 09:40,125483
S205,宝马3系,118786,大保养(机油+三滤+刹车油),2025-06-17 14:30,108786
S206,福特蒙迪欧,126579,刹车油+刹车片更换,2024-03-23 10:44,116579
S207,吉利星越L,95121,机油+机滤+空调滤芯更换,2025-01-08 08:51,90121
S208,奥迪A4L,68017,变速箱油+火花塞更换,2024-08-15 13:42,58017
S209,长城哈弗H6,45278,空气滤芯+燃油滤芯更换,2024-08-16 12:18,40278
S210,奔驰C级,87314,大保养(机油+三滤+变速箱油),2024-08-30 12:34,77314
S211,丰田凯美瑞,75393,刹车油+冷却液更换,2025-08-12 15:22,65393
S212,大众帕萨特,36689,机油+机滤+空气滤芯更换,2025-06-22 09:08,31689
S213,本田CR-V,37459,变速箱油+刹车油更换,2025-09-11 09:57,27459
S214,比亚迪宋PLUS,103329,全车检查+空调滤芯更换,2024-03-29 10:38,98329
S215,宝马5系,127309,大保养(机油+三滤+正时皮带),2024-06-14 14:38,117309
S216,奥迪Q5L,32157,机油+机滤+火花塞更换,2024-10-21 17:41,27157
S217,福特锐界,131604,刹车油+刹车片+轮胎更换,2025-03-19 09:11,121604
S218,吉利博越,101499,机油+机滤+燃油滤芯更换,2025-12-23 15:10,96499
S219,长城魏派VV7,52004,变速箱油+空调滤芯更换,2024-09-04 13:07,42004
S220,奔驰E级,129009,大保养(机油+三滤+刹车油),2024-03-08 09:00,119009
S221,丰田卡罗拉,82593,机油+机滤更换,2025-02-07 13:50,77593
S222,大众朗逸,95970,空调滤芯+空气滤芯更换,2024-05-12 09:11,85970
S223,本田思域,66581,变速箱油更换,2024-03-27 10:19,56581
S224,比亚迪汉,23595,全车检查+轮胎换位,2024-11-27 08:14,13595
S225,宝马3系,139194,大保养(机油+三滤+刹车油),2024-10-21 11:53,129194
S226,福特蒙迪欧,143752,刹车油+刹车片更换,2024-10-11 13:46,133752
S227,吉利星越L,85811,机油+机滤+空调滤芯更换,2024-06-01 09:34,80811
S228,奥迪A4L,90931,变速箱油+火花塞更换,2024-11-01 10:59,80931
S229,长城哈弗H6,113535,空气滤芯+燃油滤芯更换,2024-11-18 17:48,108535
S230,奔驰C级,33008,大保养(机油+三滤+变速箱油),2025-04-10 12:54,23008
S231,丰田凯美瑞,130740,刹车油+冷却液更换,2025-07-24 14:43,120740
S232,大众帕萨特,37288,机油+机滤+空气滤芯更换,2025-08-27 16:10,32288
S233,本田CR-V,64542,变速箱油+刹车油更换,2024-08-12 09:10,54542
S234,比亚迪宋PLUS,70795,全车检查+空调滤芯更换,2025-04-04 16:02,65795
S235,宝马5系,111037,大保养(机油+三滤+正时皮带),2024-11-26 08:11,101037
S236,奥迪Q5L,100457,机油+机滤+火花塞更换,2025-11-21 13:10,95457
S237,福特锐界,144976,刹车油+刹车片+轮胎更换,2025-07-13 10:23,134976
S238,吉利博越,146400,机油+机滤+燃油滤芯更换,2025-09-21 09:03,141400
S239,长城魏派VV7,132782,变速箱油+空调滤芯更换,2024-06-21 11:10,122782
S240,奔驰E级,61270,大保养(机油+三滤+刹车油),2024-06-05 11:25,51270
S241,丰田卡罗拉,93159,机油+机滤更换,2025-08-22 13:14,88159
S242,大众朗逸,80701,空调滤芯+空气滤芯更换,2025-06-20 11:33,70701
S243,本田思域,33499,变速箱油更换,2025-07-31 12:18,23499
S244,比亚迪汉,55953,全车检查+轮胎换位,2025-12-24 11:28,45953
S245,宝马3系,76940,大保养(机油+三滤+刹车油),2025-02-05 12:01,66940
S246,福特蒙迪欧,122122,刹车油+刹车片更换,2025-11-23 12:28,112122
S247,吉利星越L,73657,机油+机滤+空调滤芯更换,2025-05-03 13:12,68657
S248,奥迪A4L,87645,变速箱油+火花塞更换,2025-07-01 13:32,77645
S249,长城哈弗H6,96713,空气滤芯+燃油滤芯更换,2025-07-25 16:27,91713
S250,奔驰C级,35831,大保养(机油+三滤+变速箱油),2025-11-24 12:30,25831
S251,丰田凯美瑞,48196,刹车油+冷却液更换,2025-11-13 14:06,38196
S252,大众帕萨特,94431,机油+机滤+空气滤芯更换,2025-03-01 08:47,89431
S253,本田CR-V,84914,变速箱油+刹车油更换,2024-01-11 09:09,74914
S254,比亚迪宋PLUS,67464,全车检查+空调滤芯更换,2024-01-19 13:45,62464
S255,宝马5系,104907,大保养(机油+三滤+正时皮带),2024-06-13 14:11,94907
S256,奥迪Q5L,56549,机油+机滤+火花塞更换,2024-03-22 09:41,51549
S257,福特锐界,139019,刹车油+刹车片+轮胎更换,2025-10-07 09:43,129019
S258,吉利博越,64655,机油+机滤+燃油滤芯更换,2024-08-01 15:26,59655
S259,长城魏派VV7,128107,变速箱油+空调滤芯更换,2025-08-16 09:15,118107
S260,奔驰E级,23998,大保养(机油+三滤+刹车油),2025-11-27 10:24,13998
S261,丰田卡罗拉,86418,机油+机滤更换,2025-07-05 10:08,81418
S262,大众朗逸,81833,空调滤芯+空气滤芯更换,2024-07-31 12:02,71833
S263,本田思域,100205,变速箱油更换,2025-09-06 15:35,90205
S264,比亚迪汉,149634,全车检查+轮胎换位,2024-10-07 11:02,139634
S265,宝马3系,56440,大保养(机油+三滤+刹车油),2025-04-12 08:29,46440
S266,福特蒙迪欧,115696,刹车油+刹车片更换,2024-03-16 10:57,105696
S267,吉利星越L,87394,机油+机滤+空调滤芯更换,2025-07-26 12:17,82394
S268,奥迪A4L,142460,变速箱油+火花塞更换,2025-01-07 10:40,132460
S269,长城哈弗H6,114535,空气滤芯+燃油滤芯更换,2025-02-22 11:22,109535
S270,奔驰C级,57239,大保养(机油+三滤+变速箱油),2025-05-16 15:10,47239
S271,丰田凯美瑞,108200,刹车油+冷却液更换,2024-03-25 13:28,98200
S272,大众帕萨特,30682,机油+机滤+空气滤芯更换,2024-08-11 12:17,25682
S273,本田CR-V,148052,变速箱油+刹车油更换,2024-01-06 11:24,138052
S274,比亚迪宋PLUS,22798,全车检查+空调滤芯更换,2024-04-19 10:55,17798
S275,宝马5系,81790,大保养(机油+三滤+正时皮带),2025-08-30 15:44,71790
S276,奥迪Q5L,82313,机油+机滤+火花塞更换,2025-05-19 17:24,77313
S277,福特锐界,73231,刹车油+刹车片+轮胎更换,2024-03-24 13:20,63231
S278,吉利博越,63833,机油+机滤+燃油滤芯更换,2024-12-05 11:18,58833
S279,长城魏派VV7,60648,变速箱油+空调滤芯更换,2024-07-25 08:54,50648
S280,奔驰E级,137562,大保养(机油+三滤+刹车油),2024-07-08 09:18,127562
S281,丰田卡罗拉,77974,机油+机滤更换,2024-08-16 14:51,72974
S282,大众朗逸,109695,空调滤芯+空气滤芯更换,2025-07-18 14:25,99695
S283,本田思域,84420,变速箱油更换,2025-10-26 15:06,74420
S284,比亚迪汉,98155,全车检查+轮胎换位,2025-10-17 17:21,88155
S285,宝马3系,56331,大保养(机油+三滤+刹车油),2025-07-31 13:39,46331
S286,福特蒙迪欧,110833,刹车油+刹车片更换,2024-03-04 13:13,100833
S287,吉利星越L,128016,机油+机滤+空调滤芯更换,2024-05-30 14:33,123016
S288,奥迪A4L,68404,变速箱油+火花塞更换,2024-08-02 08:03,58404
S289,长城哈弗H6,72588,空气滤芯+燃油滤芯更换,2025-05-04 11:08,67588
S290,奔驰C级,37602,大保养(机油+三滤+变速箱油),2024-01-11 15:40,27602
S291,丰田凯美瑞,113106,刹车油+冷却液更换,2025-08-17 17:39,103106
S292,大众帕萨特,106888,机油+机滤+空气滤芯更换,2024-09-24 14:25,101888
S293,本田CR-V,79887,变速箱油+刹车油更换,2025-09-19 10:15,69887
S294,比亚迪宋PLUS,39944,全车检查+空调滤芯更换,2024-09-16 17:04,34944
S295,宝马5系,81915,大保养(机油+三滤+正时皮带),2024-08-17 14:21,71915
S296,奥迪Q5L,97770,机油+机滤+火花塞更换,2024-02-19 13:27,92770
S297,福特锐界,124428,刹车油+刹车片+轮胎更换,2025-05-04 09:53,114428
S298,吉利博越,45279,机油+机滤+燃油滤芯更换,2025-01-27 11:57,40279
S299,长城魏派VV7,145738,变速箱油+空调滤芯更换,2025-12-27 12:36,135738
S300,奔驰E级,24897,大保养(机油+三滤+刹车油),2025-07-23 17:52,14897
S301,丰田卡罗拉,96639,机油+机滤更换,2024-09-03 17:49,91639
S302,大众朗逸,103945,空调滤芯+空气滤芯更换,2025-01-30 10:01,93945
S303,本田思域,106802,变速箱油更换,2024-02-26 13:55,96802
S304,比亚迪汉,90609,全车检查+轮胎换位,2025-06-11 09:19,80609
S305,宝马3系,105857,大保养(机油+三滤+刹车油),2024-10-07 09:24,95857
S306,福特蒙迪欧,92248,刹车油+刹车片更换,2025-11-04 15:09,82248
S307,吉利星越L,40782,机油+机滤+空调滤芯更换,2025-08-05 13:43,35782
S308,奥迪A4L,129987,变速箱油+火花塞更换,2024-06-22 16:51,119987
S309,长城哈弗H6,28991,空气滤芯+燃油滤芯更换,2024-08-20 12:36,23991
S310,奔驰C级,95049,大保养(机油+三滤+变速箱油),2024-11-25 16:56,85049
S311,丰田凯美瑞,48780,刹车油+冷却液更换,2024-05-02 15:01,38780
S312,大众帕萨特,139750,机油+机滤+空气滤芯更换,2025-03-06 08:32,134750
S313,本田CR-V,115161,变速箱油+刹车油更换,2024-09-02 16:00,105161
S314,比亚迪宋PLUS,61775,全车检查+空调滤芯更换,2025-03-13 14:08,56775
S315,宝马5系,85966,大保养(机油+三滤+正时皮带),2024-02-28 10:29,75966
S316,奥迪Q5L,93752,机油+机滤+火花塞更换,2024-11-28 15:45,88752
S317,福特锐界,112173,刹车油+刹车片+轮胎更换,2025-10-20 13:09,102173
S318,吉利博越,90291,机油+机滤+燃油滤芯更换,2025-01-28 13:33,85291
S319,长城魏派VV7,25637,变速箱油+空调滤芯更换,2024-07-05 11:02,15637
S320,奔驰E级,128878,大保养(机油+三滤+刹车油),2025-10-21 16:43,118878
S321,丰田卡罗拉,90419,机油+机滤更换,2025-02-10 14:41,85419
S322,大众朗逸,38153,空调滤芯+空气滤芯更换,2025-10-22 16:25,28153
S323,本田思域,126303,变速箱油更换,2025-07-19 08:21,116303
S324,比亚迪汉,148727,全车检查+轮胎换位,2025-01-20 13:40,138727
S325,宝马3系,132420,大保养(机油+三滤+刹车油),2025-06-03 16:03,122420
S326,福特蒙迪欧,98587,刹车油+刹车片更换,2024-03-18 15:11,88587
S327,吉利星越L,41352,机油+机滤+空调滤芯更换,2025-11-22 12:38,36352
S328,奥迪A4L,100750,变速箱油+火花塞更换,2025-06-03 16:25,90750
S329,长城哈弗H6,58267,空气滤芯+燃油滤芯更换,2024-01-28 14:21,53267
S330,奔驰C级,111757,大保养(机油+三滤+变速箱油),2025-12-08 09:05,101757
