故障ID,故障代码,故障现象,车型,行驶里程(km),故障发生时间
F095,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,59158,2025-09-05 12:51
F096,B0200,右前安全气囊传感器故障,奥迪Q5L,66987,2025-11-23 10:57
F097,P0606,ECM内部控制模块处理器故障,福特锐界,25910,2025-04-09 10:25
F098,C0051,右后轮速传感器电路故障,吉利博越,79338,2025-10-04 14:53
F099,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,84589,2024-10-25 14:05
F100,P0113,进气温度传感器电压高,奔驰E级,101608,2024-12-12 11:56
F101,P0301,1缸失火，发动机抖动,丰田卡罗拉,62976,2025-07-04 11:51
F102,C0045,右前轮速传感器故障,大众朗逸,110039,2025-10-06 10:21
F103,P0171,燃油系统过稀,本田思域,116573,2024-07-30 10:17
F104,B1234,空调压缩机不工作,比亚迪汉,28482,2025-04-18 10:05
F105,P0420,催化转化器效率低,宝马3系,108423,2024-03-27 17:24
F106,P0299,涡轮增压器压力不足,福特蒙迪欧,34857,2025-11-15 17:39
F107,C0121,刹车压力传感器信号异常,吉利星越L,128907,2024-07-02 08:33
F108,B0081,主驾驶安全带传感器故障,奥迪A4L,34583,2024-03-14 10:06
F109,P0521,机油压力传感器电路范围故障,长城哈弗H6,72662,2025-07-26 14:29
F110,C0561,ABS系统控制模块故障,奔驰C级,87650,2024-05-25 08:17
F111,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,136176,2025-09-29 11:28
F112,B0100,空气囊控制模块故障,大众帕萨特,30980,2025-05-19 17:32
F113,P0122,节气门位置传感器电压低,本田CR-V,42902,2024-08-04 15:49
F114,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,72009,2024-07-25 17:14
F115,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,48385,2025-09-04 11:17
F116,B0200,右前安全气囊传感器故障,奥迪Q5L,77714,2025-01-04 12:59
F117,P0606,ECM内部控制模块处理器故障,福特锐界,70302,2025-03-16 17:00
F118,C0051,右后轮速传感器电路故障,吉利博越,27277,2024-03-29 15:52
F119,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,138529,2025-04-19 13:10
F120,P0113,进气温度传感器电压高,奔驰E级,126998,2024-04-20 17:54
F121,P0301,1缸失火，发动机抖动,丰田卡罗拉,62522,2025-08-01 10:37
F122,C0045,右前轮速传感器故障,大众朗逸,82124,2025-02-04 13:58
F123,P0171,燃油系统过稀,本田思域,146298,2024-09-26 16:38
F124,B1234,空调压缩机不工作,比亚迪汉,59862,2024-10-06 17:51
F125,P0420,催化转化器效率低,宝马3系,95308,2024-07-31 15:09
F126,P0299,涡轮增压器压力不足,福特蒙迪欧,131099,2024-01-07 10:46
F127,C0121,刹车压力传感器信号异常,吉利星越L,63013,2024-07-18 15:45
F128,B0081,主驾驶安全带传感器故障,奥迪A4L,69733,2024-08-21 13:18
F129,P0521,机油压力传感器电路范围故障,长城哈弗H6,113244,2025-05-31 10:52
F130,C0561,ABS系统控制模块故障,奔驰C级,88735,2024-06-19 13:42
F131,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,95681,2024-06-12 08:11
F132,B0100,空气囊控制模块故障,大众帕萨特,66650,2025-01-24 15:21
F133,P0122,节气门位置传感器电压低,本田CR-V,149969,2025-07-23 13:07
F134,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,35483,2024-11-30 17:29
F135,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,91564,2025-10-06 08:46
F136,B0200,右前安全气囊传感器故障,奥迪Q5L,123839,2024-01-09 10:06
F137,P0606,ECM内部控制模块处理器故障,福特锐界,113885,2024-03-11 14:50
F138,C0051,右后轮速传感器电路故障,吉利博越,117718,2025-06-01 11:42
F139,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,64242,2025-07-30 11:11
F140,P0113,进气温度传感器电压高,奔驰E级,137034,2025-12-22 16:30
F141,P0301,1缸失火，发动机抖动,丰田卡罗拉,64309,2024-01-11 08:46
F142,C0045,右前轮速传感器故障,大众朗逸,132873,2024-02-17 16:11
F143,P0171,燃油系统过稀,本田思域,63388,2024-11-24 13:32
F144,B1234,空调压缩机不工作,比亚迪汉,115006,2024-07-09 16:32
F145,P0420,催化转化器效率低,宝马3系,130739,2024-10-17 09:41
F146,P0299,涡轮增压器压力不足,福特蒙迪欧,119701,2025-10-27 14:39
F147,C0121,刹车压力传感器信号异常,吉利星越L,86713,2024-07-08 17:55
F148,B0081,主驾驶安全带传感器故障,奥迪A4L,136683,2024-07-20 11:17
F149,P0521,机油压力传感器电路范围故障,长城哈弗H6,98636,2025-05-21 12:59
F150,C0561,ABS系统控制模块故障,奔驰C级,121236,2024-12-13 16:42
F151,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,137852,2025-05-09 17:01
F152,B0100,空气囊控制模块故障,大众帕萨特,70400,2025-10-22 13:00
F153,P0122,节气门位置传感器电压低,本田CR-V,20421,2024-10-29 10:21
F154,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,107769,2024-06-12 12:13
F155,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,28384,2025-06-07 17:47
F156,B0200,右前安全气囊传感器故障,奥迪Q5L,114722,2025-02-21 13:36
F157,P0606,ECM内部控制模块处理器故障,福特锐界,125734,2025-08-18 17:28
F158,C0051,右后轮速传感器电路故障,吉利博越,148327,2024-04-14 16:38
F159,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,74156,2024-01-27 09:30
F160,P0113,进气温度传感器电压高,奔驰E级,69126,2024-06-19 17:08
F161,P0301,1缸失火，发动机抖动,丰田卡罗拉,46796,2024-10-20 16:38
F162,C0045,右前轮速传感器故障,大众朗逸,109808,2025-09-12 15:18
F163,P0171,燃油系统过稀,本田思域,128673,2025-11-06 17:22
F164,B1234,空调压缩机不工作,比亚迪汉,84941,2025-06-08 09:33
F165,P0420,催化转化器效率低,宝马3系,100123,2024-09-14 14:04
F166,P0299,涡轮增压器压力不足,福特蒙迪欧,142150,2025-11-11 14:07
F167,C0121,刹车压力传感器信号异常,吉利星越L,38393,2024-12-18 11:19
F168,B0081,主驾驶安全带传感器故障,奥迪A4L,131317,2024-08-18 15:19
F169,P0521,机油压力传感器电路范围故障,长城哈弗H6,145882,2025-06-11 17:01
F170,C0561,ABS系统控制模块故障,奔驰C级,26697,2024-06-24 15:57
F171,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,53069,2025-12-21 14:58
F172,B0100,空气囊控制模块故障,大众帕萨特,124414,2024-05-19 10:41
F173,P0122,节气门位置传感器电压低,本田CR-V,23208,2025-03-19 08:45
F174,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,73943,2024-09-28 15:47
F175,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,100775,2024-03-02 11:00
F176,B0200,右前安全气囊传感器故障,奥迪Q5L,116408,2024-05-02 11:54
F177,P0606,ECM内部控制模块处理器故障,福特锐界,102794,2024-05-03 10:56
F178,C0051,右后轮速传感器电路故障,吉利博越,130987,2024-09-13 16:27
F179,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,126831,2024-10-12 11:14
F180,P0113,进气温度传感器电压高,奔驰E级,55356,2024-10-24 13:16
F181,P0301,1缸失火，发动机抖动,丰田卡罗拉,44778,2025-02-16 17:22
F182,C0045,右前轮速传感器故障,大众朗逸,38582,2025-09-09 14:59
F183,P0171,燃油系统过稀,本田思域,88004,2025-08-03 08:38
F184,B1234,空调压缩机不工作,比亚迪汉,107652,2025-11-30 08:02
F185,P0420,催化转化器效率低,宝马3系,33471,2024-03-20 17:19
F186,P0299,涡轮增压器压力不足,福特蒙迪欧,76698,2024-02-13 09:29
F187,C0121,刹车压力传感器信号异常,吉利星越L,125890,2025-05-31 11:29
F188,B0081,主驾驶安全带传感器故障,奥迪A4L,139963,2024-03-27 16:04
F189,P0521,机油压力传感器电路范围故障,长城哈弗H6,64519,2024-04-12 13:22
F190,C0561,ABS系统控制模块故障,奔驰C级,44854,2024-08-25 16:24
F191,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,40986,2024-10-24 14:24
F192,B0100,空气囊控制模块故障,大众帕萨特,50526,2025-07-29 13:58
F193,P0122,节气门位置传感器电压低,本田CR-V,132573,2025-09-14 09:52
F194,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,67394,2025-02-13 10:54
F195,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,126615,2025-06-02 11:43
F196,B0200,右前安全气囊传感器故障,奥迪Q5L,63647,2025-09-16 15:48
F197,P0606,ECM内部控制模块处理器故障,福特锐界,110985,2024-07-25 10:28
F198,C0051,右后轮速传感器电路故障,吉利博越,137407,2024-12-25 14:08
F199,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,121453,2024-02-19 11:31
F200,P0113,进气温度传感器电压高,奔驰E级,109512,2024-10-21 16:40
F201,P0301,1缸失火，发动机抖动,丰田卡罗拉,125052,2024-08-30 10:35
F202,C0045,右前轮速传感器故障,大众朗逸,103394,2025-09-10 17:43
F203,P0171,燃油系统过稀,本田思域,116170,2025-03-22 15:37
F204,B1234,空调压缩机不工作,比亚迪汉,63065,2025-05-12 08:47
F205,P0420,催化转化器效率低,宝马3系,132805,2024-08-16 14:13
F206,P0299,涡轮增压器压力不足,福特蒙迪欧,80035,2025-08-15 17:05
F207,C0121,刹车压力传感器信号异常,吉利星越L,67452,2025-10-27 11:11
F208,B0081,主驾驶安全带传感器故障,奥迪A4L,77758,2025-10-28 11:42
F209,P0521,机油压力传感器电路范围故障,长城哈弗H6,103539,2025-11-06 15:42
F210,C0561,ABS系统控制模块故障,奔驰C级,78289,2025-10-13 16:36
F211,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,26156,2025-10-15 11:45
F212,B0100,空气囊控制模块故障,大众帕萨特,47593,2025-08-18 13:54
F213,P0122,节气门位置传感器电压低,本田CR-V,63727,2024-07-26 13:34
F214,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,143869,2024-06-18 16:19
F215,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,41503,2024-11-17 09:32
F216,B0200,右前安全气囊传感器故障,奥迪Q5L,131403,2025-12-08 15:16
F217,P0606,ECM内部控制模块处理器故障,福特锐界,149160,2024-04-24 08:39
F218,C0051,右后轮速传感器电路故障,吉利博越,109931,2024-05-21 15:33
F219,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,121094,2025-05-09 14:46
F220,P0113,进气温度传感器电压高,奔驰E级,63818,2025-10-13 16:08
F221,P0301,1缸失火，发动机抖动,丰田卡罗拉,92826,2025-03-01 09:58
F222,C0045,右前轮速传感器故障,大众朗逸,145746,2024-05-09 08:59
F223,P0171,燃油系统过稀,本田思域,39585,2025-05-22 16:50
F224,B1234,空调压缩机不工作,比亚迪汉,71592,2025-02-03 09:05
F225,P0420,催化转化器效率低,宝马3系,55398,2025-09-06 13:14
F226,P0299,涡轮增压器压力不足,福特蒙迪欧,33148,2025-01-21 17:52
F227,C0121,刹车压力传感器信号异常,吉利星越L,37838,2024-08-24 12:43
F228,B0081,主驾驶安全带传感器故障,奥迪A4L,39877,2024-09-23 15:31
F229,P0521,机油压力传感器电路范围故障,长城哈弗H6,107793,2025-10-15 17:26
F230,C0561,ABS系统控制模块故障,奔驰C级,95860,2024-04-10 08:10
F231,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,42023,2025-11-26 08:52
F232,B0100,空气囊控制模块故障,大众帕萨特,142881,2025-02-11 08:39
F233,P0122,节气门位置传感器电压低,本田CR-V,98464,2025-08-29 14:28
F234,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,134514,2025-04-21 08:29
F235,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,73264,2025-11-17 12:46
F236,B0200,右前安全气囊传感器故障,奥迪Q5L,82374,2024-05-30 11:48
F237,P0606,ECM内部控制模块处理器故障,福特锐界,88692,2025-01-10 11:20
F238,C0051,右后轮速传感器电路故障,吉利博越,98256,2024-04-09 11:47
F239,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,47951,2025-07-19 14:56
F240,P0113,进气温度传感器电压高,奔驰E级,116845,2024-11-03 13:36
F241,P0301,1缸失火，发动机抖动,丰田卡罗拉,78310,2025-02-14 10:06
F242,C0045,右前轮速传感器故障,大众朗逸,25912,2024-02-09 13:37
F243,P0171,燃油系统过稀,本田思域,63204,2025-11-16 15:24
F244,B1234,空调压缩机不工作,比亚迪汉,114681,2024-03-24 08:00
F245,P0420,催化转化器效率低,宝马3系,27815,2025-12-30 13:41
F246,P0299,涡轮增压器压力不足,福特蒙迪欧,141130,2024-12-05 08:37
F247,C0121,刹车压力传感器信号异常,吉利星越L,103729,2025-04-02 09:26
F248,B0081,主驾驶安全带传感器故障,奥迪A4L,64816,2025-02-13 15:21
F249,P0521,机油压力传感器电路范围故障,长城哈弗H6,110152,2024-08-26 09:27
F250,C0561,ABS系统控制模块故障,奔驰C级,146386,2024-01-15 16:45
F251,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,55620,2025-10-26 09:03
F252,B0100,空气囊控制模块故障,大众帕萨特,43564,2025-06-08 10:40
F253,P0122,节气门位置传感器电压低,本田CR-V,31948,2025-02-04 10:24
F254,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,113527,2025-10-17 11:56
F255,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,110844,2025-05-10 16:42
F256,B0200,右前安全气囊传感器故障,奥迪Q5L,109831,2024-12-11 09:24
F257,P0606,ECM内部控制模块处理器故障,福特锐界,139807,2025-11-29 17:05
F258,C0051,右后轮速传感器电路故障,吉利博越,110713,2024-02-28 10:49
F259,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,76414,2024-05-30 12:35
F260,P0113,进气温度传感器电压高,奔驰E级,140618,2024-07-30 08:07
F261,P0301,1缸失火，发动机抖动,丰田卡罗拉,126667,2024-06-20 17:24
F262,C0045,右前轮速传感器故障,大众朗逸,109339,2025-04-15 13:35
F263,P0171,燃油系统过稀,本田思域,82345,2024-03-30 16:49
F264,B1234,空调压缩机不工作,比亚迪汉,28699,2025-01-29 10:56
F265,P0420,催化转化器效率低,宝马3系,141931,2025-12-11 16:04
F266,P0299,涡轮增压器压力不足,福特蒙迪欧,39940,2025-03-02 17:36
F267,C0121,刹车压力传感器信号异常,吉利星越L,52838,2024-02-01 11:23
F268,B0081,主驾驶安全带传感器故障,奥迪A4L,69239,2024-05-10 12:33
F269,P0521,机油压力传感器电路范围故障,长城哈弗H6,59014,2025-08-23 12:32
F270,C0561,ABS系统控制模块故障,奔驰C级,58826,2025-04-28 11:46
F271,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,90795,2024-09-04 08:50
F272,B0100,空气囊控制模块故障,大众帕萨特,118025,2025-06-08 08:04
F273,P0122,节气门位置传感器电压低,本田CR-V,60662,2024-11-08 14:00
F274,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,140105,2025-02-27 11:53
F275,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,110393,2024-03-31 16:30
F276,B0200,右前安全气囊传感器故障,奥迪Q5L,128609,2024-06-06 13:13
F277,P0606,ECM内部控制模块处理器故障,福特锐界,96457,2024-04-03 11:32
F278,C0051,右后轮速传感器电路故障,吉利博越,124978,2025-07-25 17:48
F279,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,26844,2024-11-08 10:26
F280,P0113,进气温度传感器电压高,奔驰E级,111093,2024-12-20 15:33
F281,P0301,1缸失火，发动机抖动,丰田卡罗拉,74049,2025-06-04 13:01
F282,C0045,右前轮速传感器故障,大众朗逸,55375,2025-02-05 09:58
F283,P0171,燃油系统过稀,本田思域,26197,2024-03-13 16:33
F284,B1234,空调压缩机不工作,比亚迪汉,56150,2025-11-24 12:47
F285,P0420,催化转化器效率低,宝马3系,34392,2025-12-04 11:35
F286,P0299,涡轮增压器压力不足,福特蒙迪欧,25293,2024-10-25 10:41
F287,C0121,刹车压力传感器信号异常,吉利星越L,74548,2025-11-04 12:25
F288,B0081,主驾驶安全带传感器故障,奥迪A4L,95217,2025-03-13 15:52
F289,P0521,机油压力传感器电路范围故障,长城哈弗H6,132771,2025-03-24 08:57
F290,C0561,ABS系统控制模块故障,奔驰C级,148787,2025-08-13 16:27
F291,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,73621,2024-09-11 17:00
F292,B0100,空气囊控制模块故障,大众帕萨特,123867,2025-01-19 17:56
F293,P0122,节气门位置传感器电压低,本田CR-V,48019,2024-03-18 10:08
F294,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,136680,2024-03-25 12:40
F295,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,77254,2024-03-11 12:22
F296,B0200,右前安全气囊传感器故障,奥迪Q5L,109576,2024-03-23 14:35
F297,P0606,ECM内部控制模块处理器故障,福特锐界,92953,2024-03-14 11:29
F298,C0051,右后轮速传感器电路故障,吉利博越,45074,2025-04-24 16:10
F299,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,121052,2024-12-29 15:10
F300,P0113,进气温度传感器电压高,奔驰E级,64091,2024-06-12 16:02
F301,P0301,1缸失火，发动机抖动,丰田卡罗拉,35687,2024-05-11 11:27
F302,C0045,右前轮速传感器故障,大众朗逸,80874,2025-04-29 13:22
F303,P0171,燃油系统过稀,本田思域,124326,2025-12-23 17:03
F304,B1234,空调压缩机不工作,比亚迪汉,131678,2024-02-29 15:02
F305,P0420,催化转化器效率低,宝马3系,22481,2025-09-21 10:14
F306,P0299,涡轮增压器压力不足,福特蒙迪欧,144051,2024-10-06 16:44
F307,C0121,刹车压力传感器信号异常,吉利星越L,116669,2025-04-30 16:44
F308,B0081,主驾驶安全带传感器故障,奥迪A4L,104294,2025-07-28 13:05
F309,P0521,机油压力传感器电路范围故障,长城哈弗H6,112299,2024-12-04 13:53
F310,C0561,ABS系统控制模块故障,奔驰C级,103465,2025-12-07 10:06
F311,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,45096,2025-04-16 13:58
F312,B0100,空气囊控制模块故障,大众帕萨特,145854,2024-08-25 14:33
F313,P0122,节气门位置传感器电压低,本田CR-V,52741,2024-03-21 08:33
F314,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,26657,2025-04-27 12:31
F315,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,20813,2025-09-16 12:59
F316,B0200,右前安全气囊传感器故障,奥迪Q5L,139118,2025-06-28 17:46
F317,P0606,ECM内部控制模块处理器故障,福特锐界,67979,2025-01-05 17:51
F318,C0051,右后轮速传感器电路故障,吉利博越,82029,2024-05-16 17:17
F319,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,138739,2024-12-05 16:27
F320,P0113,进气温度传感器电压高,奔驰E级,105167,2024-01-31 11:56
F321,P0301,1缸失火，发动机抖动,丰田卡罗拉,127995,2024-12-09 09:00
F322,C0045,右前轮速传感器故障,大众朗逸,132189,2025-01-26 10:55
F323,P0171,燃油系统过稀,本田思域,20839,2024-05-09 14:06
F324,B1234,空调压缩机不工作,比亚迪汉,93362,2024-03-09 15:45
F325,P0420,催化转化器效率低,宝马3系,44208,2024-10-17 12:18
F326,P0299,涡轮增压器压力不足,福特蒙迪欧,36134,2024-02-05 12:38
F327,C0121,刹车压力传感器信号异常,吉利星越L,64035,2024-10-25 10:39
F328,B0081,主驾驶安全带传感器故障,奥迪A4L,122117,2025-03-26 09:55
F329,P0521,机油压力传感器电路范围故障,长城哈弗H6,68785,2025-07-09 14:26
F330,C0561,ABS系统控制模块故障,奔驰C级,104059,2025-10-21 17:18
F331,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,28892,2024-02-06 10:13
F332,B0100,空气囊控制模块故障,大众帕萨特,62826,2024-01-09 11:31
F333,P0122,节气门位置传感器电压低,本田CR-V,93902,2024-01-01 08:17
